序号,列名,模态,窗口指标,窗口指标含义,统计量,统计量含义,单位,这一维在说什么
1,eeg_frontal_delta_power_z_within_subject__mean,脑电,eeg_frontal_delta_power_z_within_subject,额区δ 功率（1–4 Hz，较慢）,mean,任务内平均,z 分数,额区（前额，和注意、控制有关）的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
2,eeg_frontal_delta_power_z_within_subject__std,脑电,eeg_frontal_delta_power_z_within_subject,额区δ 功率（1–4 Hz，较慢）,std,任务内波动,z 分数,额区（前额，和注意、控制有关）的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
3,eeg_frontal_delta_power_z_within_subject__median,脑电,eeg_frontal_delta_power_z_within_subject,额区δ 功率（1–4 Hz，较慢）,median,任务内中位数,z 分数,额区（前额，和注意、控制有关）的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
4,eeg_frontal_delta_power_z_within_subject__slope,脑电,eeg_frontal_delta_power_z_within_subject,额区δ 功率（1–4 Hz，较慢）,slope,任务过程走势,z 分数,额区（前额，和注意、控制有关）的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
5,eeg_frontal_theta_power_z_within_subject__mean,脑电,eeg_frontal_theta_power_z_within_subject,额区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,mean,任务内平均,z 分数,额区（前额，和注意、控制有关）的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
6,eeg_frontal_theta_power_z_within_subject__std,脑电,eeg_frontal_theta_power_z_within_subject,额区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,std,任务内波动,z 分数,额区（前额，和注意、控制有关）的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
7,eeg_frontal_theta_power_z_within_subject__median,脑电,eeg_frontal_theta_power_z_within_subject,额区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,median,任务内中位数,z 分数,额区（前额，和注意、控制有关）的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
8,eeg_frontal_theta_power_z_within_subject__slope,脑电,eeg_frontal_theta_power_z_within_subject,额区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,slope,任务过程走势,z 分数,额区（前额，和注意、控制有关）的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
9,eeg_frontal_alpha_power_z_within_subject__mean,脑电,eeg_frontal_alpha_power_z_within_subject,额区α 功率（8–13 Hz，放松、皮层抑制）,mean,任务内平均,z 分数,额区（前额，和注意、控制有关）的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
10,eeg_frontal_alpha_power_z_within_subject__std,脑电,eeg_frontal_alpha_power_z_within_subject,额区α 功率（8–13 Hz，放松、皮层抑制）,std,任务内波动,z 分数,额区（前额，和注意、控制有关）的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
